company_name,count,selected_datetime,polygon
bird,308,2019-08-11 21:00:08,"POLYGON ((-86.78938189135376 36.14986414829093, -86.77145810864624 36.14986414829093, -86.77145810864624 36.16433585170907, -86.78938189135376 36.16433585170907, -86.78938189135376 36.14986414829093))"
lime,38,2019-08-11 21:00:08,"POLYGON ((-86.78938189135376 36.14986414829093, -86.77145810864624 36.14986414829093, -86.77145810864624 36.16433585170907, -86.78938189135376 36.16433585170907, -86.78938189135376 36.14986414829093))"
lyft,63,2019-08-11 21:00:08,"POLYGON ((-86.78938189135376 36.14986414829093, -86.77145810864624 36.14986414829093, -86.77145810864624 36.16433585170907, -86.78938189135376 36.16433585170907, -86.78938189135376 36.14986414829093))"
spin,110,2019-08-11 21:00:08,"POLYGON ((-86.78938189135376 36.14986414829093, -86.77145810864624 36.14986414829093, -86.77145810864624 36.16433585170907, -86.78938189135376 36.16433585170907, -86.78938189135376 36.14986414829093))"
uber,53,2019-08-11 21:00:08,"POLYGON ((-86.78938189135376 36.14986414829093, -86.77145810864624 36.14986414829093, -86.77145810864624 36.16433585170907, -86.78938189135376 36.16433585170907, -86.78938189135376 36.14986414829093))"
bird,310,2019-08-11 21:00:08,"POLYGON ((-86.78638238174571 36.15415414829094, -86.76845761825432 36.15415414829094, -86.76845761825432 36.16862585170906, -86.78638238174571 36.16862585170906, -86.78638238174571 36.15415414829094))"
lime,49,2019-08-11 21:00:08,"POLYGON ((-86.78638238174571 36.15415414829094, -86.76845761825432 36.15415414829094, -86.76845761825432 36.16862585170906, -86.78638238174571 36.16862585170906, -86.78638238174571 36.15415414829094))"
lyft,89,2019-08-11 21:00:08,"POLYGON ((-86.78638238174571 36.15415414829094, -86.76845761825432 36.15415414829094, -86.76845761825432 36.16862585170906, -86.78638238174571 36.16862585170906, -86.78638238174571 36.15415414829094))"
spin,102,2019-08-11 21:00:08,"POLYGON ((-86.78638238174571 36.15415414829094, -86.76845761825432 36.15415414829094, -86.76845761825432 36.16862585170906, -86.78638238174571 36.16862585170906, -86.78638238174571 36.15415414829094))"
uber,51,2019-08-11 21:00:08,"POLYGON ((-86.78638238174571 36.15415414829094, -86.76845761825432 36.15415414829094, -86.76845761825432 36.16862585170906, -86.78638238174571 36.16862585170906, -86.78638238174571 36.15415414829094))"
bird,320,2019-08-11 21:00:08,"POLYGON ((-86.78517224787782 36.15298314829094, -86.76724775212219 36.15298314829094, -86.76724775212219 36.16745485170906, -86.78517224787782 36.16745485170906, -86.78517224787782 36.15298314829094))"
